2026-05-03 22:39:45.750 | INFO     | models.trainer:save_models:109 - [Trainer] Saved D:\dream_project\pipeline_dish\models\saved\meta_wf_2023-24.pkl
2026-05-03 22:39:45.856 | INFO     | models.trainer:save_models:114 - [Trainer] Saved calibrated model → D:\dream_project\pipeline_dish\models\calibrated\calibrated_wf_2023-24.pkl
2026-05-03 22:39:45.858 | SUCCESS  | models.trainer:run_training_pipeline:175 - [Trainer] Pipeline hoàn thành cho league=wf_2023-24
2026-05-03 22:39:45.885 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=43.30 | odds=8.0 | bankroll=956.70 | ROI=-4.3%
2026-05-03 22:39:45.885 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=24.97 | odds=5.5 | bankroll=931.73 | ROI=-6.8%
2026-05-03 22:39:45.885 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=17.33 | odds=2.38 | bankroll=955.65 | ROI=-4.4%
2026-05-03 22:39:45.885 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=16.63 | odds=3.3 | bankroll=993.90 | ROI=-0.6%
2026-05-03 22:39:45.891 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=2.98 | odds=5.5 | bankroll=990.92 | ROI=-0.9%
2026-05-03 22:39:45.891 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=7.13 | odds=9.0 | bankroll=983.79 | ROI=-1.6%
2026-05-03 22:39:45.892 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=13.58 | odds=7.0 | bankroll=970.21 | ROI=-3.0%
2026-05-03 22:39:45.892 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=17.17 | odds=15.0 | bankroll=953.04 | ROI=-4.7%
2026-05-03 22:39:45.893 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=11.25 | odds=1.75 | bankroll=961.47 | ROI=-3.9%
2026-05-03 22:39:45.893 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=16.54 | odds=2.9 | bankroll=944.93 | ROI=-5.5%
2026-05-03 22:39:45.894 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=22.39 | odds=2.75 | bankroll=922.54 | ROI=-7.7%
2026-05-03 22:39:45.895 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=4.70 | odds=5.5 | bankroll=917.84 | ROI=-8.2%
2026-05-03 22:39:45.895 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=10.10 | odds=9.0 | bankroll=907.74 | ROI=-9.2%
2026-05-03 22:39:45.896 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=32.32 | odds=7.5 | bankroll=875.42 | ROI=-12.5%
2026-05-03 22:39:45.896 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=27.75 | odds=6.5 | bankroll=847.67 | ROI=-15.2%
2026-05-03 22:39:45.897 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=38.15 | odds=1.95 | bankroll=883.91 | ROI=-11.6%
2026-05-03 22:39:45.898 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=4.60 | odds=2.75 | bankroll=879.31 | ROI=-12.1%
2026-05-03 22:39:45.898 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=2.55 | odds=4.2 | bankroll=876.76 | ROI=-12.3%
2026-05-03 22:39:45.899 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=18.15 | odds=5.25 | bankroll=858.61 | ROI=-14.1%
2026-05-03 22:39:45.899 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=53.66 | odds=2.8 | bankroll=955.20 | ROI=-4.5%
2026-05-03 22:39:45.900 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=11.65 | odds=4.33 | bankroll=943.55 | ROI=-5.6%
2026-05-03 22:39:45.900 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=29.34 | odds=4.5 | bankroll=914.21 | ROI=-8.6%
2026-05-03 22:39:45.901 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=22.31 | odds=2.7 | bankroll=891.90 | ROI=-10.8%
2026-05-03 22:39:45.902 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] WIN | stake=10.26 | odds=2.9 | bankroll=911.39 | ROI=-8.9%
2026-05-03 22:39:45.902 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=2.64 | odds=7.0 | bankroll=908.75 | ROI=-9.1%
2026-05-03 22:39:45.903 | INFO     | betting.kelly:settle_bet:107 - [Bankroll] LOSS | stake=12.36 | odds=7.0 | bankroll=896.39 | ROI=-10.4%
